,estimated_frequency
Strep_C100284,0.02142857142857143
Strep_C100285,0.014285714285714285
Strep_C100286,0.007142857142857143
Strep_C100287,0.014285714285714285
Strep_C100288,0.014285714285714285
Strep_C100289,0.014285714285714285
Strep_C10028,0.4469448845074315
Strep_C100290,0.03571428571428571
Strep_C100291,0.007142857142857143
Strep_C100292,0.12371009095909809
Strep_C100293,0.007142857142857143
Strep_C100294,0.04285714285714286
Strep_C100295,0.007142857142857143
Strep_C100296,0.007142857142857143
Strep_C100297,0.007142857142857143
Strep_C100298,0.02857142857142857
Strep_C100299,0.007142857142857143
Strep_C10029,0.007142857142857143
Strep_C1002,0.007142857142857143
Strep_C100300,0.014285714285714285
Strep_C100301,0.02142857142857143
Strep_C100302,0.02142857142857143
Strep_C100303,0.02142857142857143
Strep_C100304,0.02857142857142857
Strep_C100305,0.02857142857142857
Strep_C100306,0.12975966857683566
Strep_C100307,0.014285714285714285
Strep_C100308,0.007142857142857143
Strep_C100309,0.03571428571428571
Strep_C10030,0.007142857142857143
Strep_C100310,0.014285714285714285
Strep_C100311,0.3215496551486764
Strep_C100312,0.02857142857142857
Strep_C100313,0.12921894639129497
Strep_C100314,0.007142857142857143
Strep_C100315,0.02142857142857143
Strep_C100316,0.007142857142857143
Strep_C100317,0.007142857142857143
Strep_C100318,0.007142857142857143
Strep_C100319,0.05714285714285714
Strep_C10031,0.007142857142857143
Strep_C100320,0.05
Strep_C100321,0.06428571428571428
Strep_C100322,0.05
Strep_C100323,0.06428571428571428
Strep_C100324,0.02857142857142857
Strep_C100325,0.007142857142857143
Strep_C100326,0.014285714285714285
Strep_C100327,0.007142857142857143
Strep_C100328,0.007142857142857143
Strep_C100329,0.007142857142857143
Strep_C10032,0.007142857142857143
Strep_C100330,0.03571428571428571
Strep_C100331,0.007142857142857143
Strep_C100332,0.014285714285714285
Strep_C100333,0.02142857142857143
Strep_C100334,0.007142857142857143
Strep_C100335,0.99999999
Strep_C100336,0.09285714285714286
Strep_C100337,0.02142857142857143
Strep_C100338,0.02142857142857143
Strep_C100339,0.014285714285714285
Strep_C10033,0.007142857142857143
Strep_C100340,0.02142857142857143
Strep_C100341,0.02142857142857143
