gene	product	strains_missing	missing_percentage
Strep_C17130	class I SAM-dependent methyltransferase	1	11.11111111111111
Strep_C11312	carbohydrate ABC transporter permease	1	11.11111111111111
Strep_C27127	Sec-independent protein translocase subunit TatA	1	11.11111111111111
Strep_C20912	gamma carbonic anhydrase family protein	1	11.11111111111111
Strep_C28161	chaplin ChpG	1	11.11111111111111
Strep_C11405	SDR family oxidoreductase	1	11.11111111111111
Strep_C9497	ABC transporter permease	1	11.11111111111111
Strep_C21847	ATP-binding protein	1	11.11111111111111
Strep_C6627	formyl-CoA transferase	1	11.11111111111111
Strep_C18178	phosphatidylserine decarboxylase	1	11.11111111111111
Strep_C10052	ABC transporter permease	1	11.11111111111111
Strep_C14965	AIM24 family protein	1	11.11111111111111
Strep_C23372	SsgA family sporulation/cell division regulator	1	11.11111111111111
Strep_C3116	thiamine pyrophosphate-binding protein	1	11.11111111111111
Strep_C14862	creatininase family protein	1	11.11111111111111
Strep_C6366	hypothetical protein	1	11.11111111111111
Strep_C12006	FadR/GntR family transcriptional regulator	1	11.11111111111111
Strep_C25165	DUF742 domain-containing protein	1	11.11111111111111
Strep_C2060	bifunctional aldolase/short-chain dehydrogenase	1	11.11111111111111
Strep_C13787	endo alpha-1,4 polygalactosaminidase	1	11.11111111111111
Strep_C7458	sensor histidine kinase	1	11.11111111111111
Strep_C28735	EF-hand domain-containing protein	1	11.11111111111111
Strep_C28673	MbtH family protein	1	11.11111111111111
Strep_C3771	sodium:solute symporter family protein	1	11.11111111111111
Strep_C15746	MerR family transcriptional regulator	1	11.11111111111111
Strep_C8901	nucleoside triphosphate pyrophosphohydrolase	1	11.11111111111111
Strep_C15058	MHYT domain-containing protein	1	11.11111111111111
Strep_C10379	hypothetical protein	1	11.11111111111111
Strep_C14762	rhamnogalacturonan acetylesterase	1	11.11111111111111
Strep_C8314	aminoglycoside phosphotransferase family protein	1	11.11111111111111
Strep_C27075	hypothetical protein	1	11.11111111111111
Strep_C1069	nitrite reductase large subunit NirB	1	11.11111111111111
Strep_C21539	MarR family winged helix-turn-helix transcriptional regulator	1	11.11111111111111
Strep_C15810	cobalt ECF transporter T component CbiQ	1	11.11111111111111
Strep_C6652	serine hydroxymethyltransferase	1	11.11111111111111
Strep_C20409	NAD(P)H-dependent oxidoreductase	1	11.11111111111111
Strep_C9132	aromatic ring-hydroxylating dioxygenase subunit alpha	1	11.11111111111111
Strep_C2108	tetratricopeptide repeat protein	1	11.11111111111111
Strep_C18251	YceD family protein	1	11.11111111111111
Strep_C24258	VOC family protein	1	11.11111111111111
Strep_C7618	methyltransferase	1	11.11111111111111
Strep_C25299	fluoride efflux transporter CrcB	1	11.11111111111111
Strep_C21982	hypothetical protein	1	11.11111111111111
Strep_C7687	septum site-determining protein Ssd	1	11.11111111111111
Strep_C16791	class III extradiol dioxygenase subunit B-like domain-containing protein	1	11.11111111111111
Strep_C20947	hypothetical protein	1	11.11111111111111
Strep_C22376	VOC family protein	1	11.11111111111111
Strep_C12739	winged helix-turn-helix domain-containing protein	1	11.11111111111111
Strep_C9134	C40 family peptidase	1	11.11111111111111
Strep_C22599	carboxymuconolactone decarboxylase family protein	1	11.11111111111111
Strep_C12240	dihydrodipicolinate synthase family protein	1	11.11111111111111
Strep_C6598	TOMM precursor leader peptide-binding protein	1	11.11111111111111
Strep_C7692	phytanoyl-CoA dioxygenase family protein	1	11.11111111111111
Strep_C13935	Fpg/Nei family DNA glycosylase	1	11.11111111111111
Strep_C4221	alkaline phosphatase PhoX	1	11.11111111111111
Strep_C18333	thymidine kinase	1	11.11111111111111
Strep_C3223	NAD(P)/FAD-dependent oxidoreductase	1	11.11111111111111
Strep_C5732	transcriptional regulator	1	11.11111111111111
Strep_C7463	LCP family protein	1	11.11111111111111
Strep_C1562	MMPL family transporter	1	11.11111111111111
