,estimated_frequency
Strep_C10071,0.23370228693111114
Strep_C10072,0.3524582818100281
Strep_C10073,0.11634201451864289
Strep_C10074,0.11634201451864289
Strep_C10075,0.11634201451864289
Strep_C10076,0.670453025682897
Strep_C10077,0.2337017810381666
Strep_C10078,0.23370228693111114
Strep_C10079,0.2337017810381666
Strep_C1007,0.11634201451864289
Strep_C10080,0.11634201451864289
Strep_C10081,0.23370228693111114
Strep_C10082,0.1163415109155265
Strep_C10083,0.1163415109155265
Strep_C10084,0.5936427844819077
Strep_C10085,0.1163415109155265
Strep_C10086,0.1163415109155265
Strep_C10087,0.1163415109155265
Strep_C10088,0.99999999
Strep_C10089,0.23370228693111114
Strep_C1008,0.47311830745470035
Strep_C10090,0.11634201451864289
Strep_C10091,0.23370178103816636
Strep_C10092,0.334259100712907
Strep_C10093,0.11634201451864289
Strep_C10094,0.7847940789287989
Strep_C10095,0.11634201451864289
Strep_C10096,0.11634201451864289
Strep_C10097,0.35245843672205746
Strep_C10098,0.2337017810381666
Strep_C10099,0.35245843672205746
Strep_C1009,0.8889131171654778
Strep_C100,0.11634201451864289
Strep_C10100,0.5936452796634148
Strep_C10101,0.11634201451864289
Strep_C10102,0.5936427844819077
Strep_C10103,0.11634201451864289
Strep_C10104,0.11634201451864289
Strep_C10105,0.11634201451864289
Strep_C10106,0.11634201451864289
Strep_C10107,0.11634201451864289
Strep_C10108,0.11634201451864289
Strep_C10109,0.7256406595528874
Strep_C1010,0.99999999
Strep_C10110,0.8889131171654778
Strep_C10111,0.99999999
Strep_C10112,0.11136757272179186
Strep_C10113,0.8889131171654778
Strep_C10114,0.11136757272179186
Strep_C10115,0.23305302815717163
Strep_C10116,0.99999999
Strep_C10117,0.23305302815717163
Strep_C10118,0.8889131171654778
Strep_C10119,0.23305302815717163
Strep_C1011,0.11136757272179186
Strep_C10120,0.1160600458814914
Strep_C10121,0.47311830745470035
Strep_C10122,0.11634201451864289
Strep_C10123,0.2337017810381666
Strep_C10124,0.99999999
Strep_C10125,0.47311651524910325
Strep_C10126,0.5967214293920762
Strep_C10127,0.99999999
Strep_C10128,0.11634201451864289
Strep_C10129,0.3524582818100281
Strep_C1012,0.23305302815717163
Strep_C10130,0.11634201451864289
Strep_C10131,0.5936452796634148
Strep_C10132,0.11634201451864289
Strep_C10133,0.11634201451864289
Strep_C10134,0.11634201451864289
Strep_C10135,0.47311830745470035
Strep_C10136,0.47311830745470035
Strep_C10137,0.47311830745470035
Strep_C10138,0.11634201451864289
Strep_C10139,0.11634201451864289
Strep_C1013,0.8889223478224411
