WP_037694501.1	Streptomyces
WP_037694512.1	Streptomyces
WP_037694514.1	Streptomyces
WP_037694517.1	Streptomyces
WP_037694522.1	Streptomyces
WP_037694533.1	Streptomyces
WP_037694584.1	Streptomyces
WP_037694600.1	Streptomyces
WP_037694607.1	Streptomyces
WP_037694614.1	Streptomyces
WP_037694679.1	Streptomyces
WP_037694751.1	Streptomyces
WP_037694787.1	Streptomyces
WP_037694796.1	Streptomyces
WP_037694804.1	Streptomyces
WP_037694818.1	Streptomyces
WP_037694842.1	Streptomyces
WP_037694855.1	Streptomyces
WP_037694882.1	Streptomyces
WP_037694889.1	Streptomyces
WP_037694958.1	Streptomyces
WP_037694964.1	Streptomyces
WP_037694967.1	Streptomyces
WP_037694977.1	Streptomyces
WP_037695023.1	Streptomyces
WP_037695026.1	Streptomyces
WP_037695042.1	Streptomyces
WP_037695045.1	Streptomyces
WP_037695061.1	Streptomyces
WP_037695071.1	Streptomyces
WP_037695072.1	Streptomyces
WP_037695074.1	Streptomyces
WP_037695079.1	Streptomyces
WP_037695081.1	Streptomyces
WP_037695085.1	Streptomyces
WP_037695092.1	Streptomyces
WP_037695097.1	Streptomyces
WP_037695099.1	Streptomyces
WP_037695137.1	Streptomyces
WP_037695140.1	Streptomyces
WP_037695150.1	Streptomyces
WP_037695152.1	Streptomyces
WP_037695175.1	Streptomyces
WP_037695190.1	Streptomyces
WP_037695202.1	Streptomyces
WP_037695221.1	Streptomyces
WP_037695234.1	Streptomyces
WP_037695254.1	Streptomyces
WP_037695356.1	Streptomyces
WP_037695359.1	Streptomyces
WP_037695362.1	Streptomyces
WP_037695368.1	Streptomyces
WP_037695382.1	Streptomyces
WP_037695387.1	Streptomyces
WP_037695393.1	Streptomyces
WP_037695399.1	Streptomyces
WP_037695414.1	Streptomyces
WP_037695418.1	Streptomyces
WP_037695422.1	Streptomyces
WP_037695424.1	Streptomyces
WP_037695427.1	Streptomyces
WP_037695430.1	Streptomyces
WP_037695441.1	Streptomyces
WP_037695450.1	Streptomyces
WP_037695455.1	Streptomyces
WP_037695465.1	Streptomyces
WP_037695470.1	Streptomyces
WP_037695497.1	Streptomyces
WP_037695630.1	Streptomyces
WP_037695633.1	Streptomyces
WP_037695669.1	Streptomyces
WP_037695689.1	Streptomyces
WP_037695697.1	Streptomyces
WP_037695699.1	Streptomyces
WP_037695724.1	Streptomyces
WP_037695734.1	Streptomyces
WP_037695744.1	Streptomyces
WP_037695754.1	Streptomyces
WP_037695775.1	Streptomyces
WP_037695778.1	Streptomyces
WP_037695811.1	Streptomyces
WP_037695846.1	Streptomyces
WP_037695847.1	Streptomyces
WP_037695850.1	Streptomyces
WP_037695893.1	Streptomyces
WP_037695902.1	Streptomyces
WP_037695918.1	Streptomyces
WP_037695920.1	Streptomyces
WP_037695927.1	Streptomyces
